Case #,Query,Top Match,Score,Score %,Match Type,String Score,Semantic Score,Match 1 Name,Match 1 Score,Match 1 Type,Match 2 Name,Match 2 Score,Match 2 Type,Match 3 Name,Match 3 Score,Match 3 Type,Match 4 Name,Match 4 Score,Match 4 Type,Match 5 Name,Match 5 Score,Match 5 Type,Match 6 Name,Match 6 Score,Match 6 Type,Match 7 Name,Match 7 Score,Match 7 Type,Match 8 Name,Match 8 Score,Match 8 Type,Match 9 Name,Match 9 Score,Match 9 Type,Match 10 Name,Match 10 Score,Match 10 Type,Match 11 Name,Match 11 Score,Match 11 Type,Match 12 Name,Match 12 Score,Match 12 Type,Match 13 Name,Match 13 Score,Match 13 Type,Match 14 Name,Match 14 Score,Match 14 Type,Match 15 Name,Match 15 Score,Match 15 Type,Match 16 Name,Match 16 Score,Match 16 Type,Match 17 Name,Match 17 Score,Match 17 Type,Match 18 Name,Match 18 Score,Match 18 Type,Match 19 Name,Match 19 Score,Match 19 Type,Match 20 Name,Match 20 Score,Match 20 Type
50,Donnelley Work Session,Donnelley Work Session,1.0000,100.00,exact,1.0000,6.0390,Donnelley Work Session,100.00%,exact,SMDS Work Session,72.66%,hybrid,Donnelley Financial Services,56.48%,hybrid,Experience Session 5,55.60%,hybrid,Donnelley Financial Solutions,54.58%,hybrid,Donnelley for Congress,54.49%,hybrid,Professional Development Session,53.88%,hybrid,RH Donnelley Headquarters,53.40%,hybrid,DONNELLEY MARKETING 1,53.29%,hybrid,KinderCare Working Session,53.08%,hybrid,Executive Breakfast Session,52.83%,hybrid,SBH Strategy Session,52.81%,hybrid,RR DONNELLEY FINANCIAL SERVICE,52.66%,hybrid,R R Donnelley Logistics,52.62%,hybrid,Donnelley Financial Solutions Corporate,52.53%,hybrid,HR Talent Profile Session,52.46%,hybrid,Session One,50.14%,hybrid,Session M,49.64%,hybrid,Donnelley Financial,49.50%,hybrid,Strategy Session,49.38%,hybrid
51,North Shore Senior Center,North Shore Senior Center,1.0000,100.00,exact,1.0000,6.1147,North Shore Senior Center,100.00%,exact,North Shore Cancer Center,84.81%,hybrid,Northshore Senior Center,84.46%,hybrid,Coastal North Town Center,82.32%,hybrid,North Shore Elder Services,82.08%,hybrid,North Shore Community College,81.06%,hybrid,North Shore Community Bank,80.54%,hybrid,North Bay Regional Center,80.54%,hybrid,Glen Cove Senior Center,80.37%,hybrid,North Coast Center,77.81%,hybrid,East Shore Center,74.93%,hybrid,North Shore Bank,73.79%,hybrid,Shore Christian Center,73.68%,hybrid,North Shore Supply,73.68%,hybrid,Northend Senior Center,73.33%,hybrid,NORTH SHORE COUNTRY,73.31%,hybrid,North Shore Parts,73.30%,hybrid,North Shore Fellowship,73.26%,hybrid,Lakeland Senior Center,72.98%,hybrid,NORTH SHORE LINKS,72.94%,hybrid
52,Singles Who Like Food & Fun,Singles Who Like Food & Fun,1.0000,100.00,exact,1.0000,5.2373,Singles Who Like Food & Fun,100.00%,exact,Fun Asian Singles,55.23%,hybrid,Christian Singles Fun Events,55.11%,hybrid,Fun Social Singles 35+,54.97%,hybrid,Food Fun & Fellowship,50.76%,hybrid,Singles Who Dance,50.64%,hybrid,Hot Singles,36.13%,hybrid,Singles Imagine,35.58%,hybrid,Singles Adventures,34.94%,hybrid,Singles in Paradise,34.72%,hybrid,Singles Supper Club,34.53%,hybrid,Enjoy Life Foods,34.45%,hybrid,For Singles By Singles,33.92%,hybrid,Food N Friends,33.27%,hybrid,Social Singles Adventures,33.10%,hybrid,Fabulous Food Show,32.61%,hybrid,Food Glorious Food,32.10%,hybrid,Sexy Singles,32.01%,hybrid,Singles Fair,31.94%,hybrid,Successful Singles,31.81%,hybrid
53,Zen Meetings & Events,Zen Meetings & Events,1.0000,100.00,exact,1.0000,6.0922,Zen Meetings & Events,100.00%,exact,Zen Events México,77.55%,hybrid,Zen Events Group,72.54%,hybrid,"Zen Events, LLC",66.81%,hybrid,Zen at Work,62.04%,hybrid,EVENT ZEN,61.38%,hybrid,Zen Wellness Classes,60.63%,hybrid,Zen,59.76%,hybrid,SERVICE ZEN,58.72%,hybrid,Zen Group,57.76%,hybrid,Zen Associates,56.73%,hybrid,PROJECT ZEN,56.55%,hybrid,Zen Business,56.44%,hybrid,Zen Consulting,56.24%,hybrid,Zen Planner,55.87%,hybrid,Zen Travels,55.24%,hybrid,Zen Digital,54.99%,hybrid,Applied Zen,54.95%,hybrid,ZEN BEI,54.84%,hybrid,ZEN SPOT,54.83%,hybrid
54,Chicago South Swim Club,Chicago South Swim Club,1.0000,100.00,exact,1.0000,6.3264,Chicago South Swim Club,100.00%,exact,South Carolina Swim Club,82.43%,hybrid,South West Florida Swim Club,81.25%,hybrid,South Metro Storm Swim Club,78.51%,hybrid,Baltimore City Swim Club,77.99%,hybrid,Detroit Recreation Swim Club,77.31%,hybrid,Ohio State Swim Club,76.96%,hybrid,Southern Kentucky Swim Club,76.09%,hybrid,Carolina Aquatics Swim Club,75.88%,hybrid,Team Carolina Swim Club,75.75%,hybrid,Westside YMCA Swim Club,75.59%,hybrid,University of Michigan Swim Club,75.59%,hybrid,Palo Alto Swim Club,75.39%,hybrid,Los Angeles Swim Club,75.36%,hybrid,National Capital Swim Club,74.83%,hybrid,North Bay Swim Club,74.74%,hybrid,Chicago Swim School,72.39%,hybrid,Detroit Swim Club,71.89%,hybrid,Columbia Swim Club,71.51%,hybrid,Shore Club Chicago,71.36%,hybrid
55,"Edna, Dabra@SAP.IO","Edna, Dabra@SAP.IO",1.0000,100.00,exact,1.0000,5.0530,"Edna, Dabra@SAP.IO",100.00%,exact,Edna Owusu,75.67%,hybrid,Edna Rose,75.04%,hybrid,Edna Travel,74.48%,hybrid,Edna ISD,74.09%,hybrid,City of Edna,73.92%,hybrid,EDNA LUMBER COMPANY,72.54%,hybrid,Cena SAP,39.13%,hybrid,SAP Brasil,37.20%,hybrid,Nadia Saputo,36.62%,hybrid,SAP Brazil,35.20%,hybrid,Sapna Creations,34.81%,hybrid,Saphis Poa,32.85%,hybrid,Sapna Creation,32.81%,hybrid,SAP,32.22%,hybrid,Sapia AI,31.63%,hybrid,SAP Am,31.58%,hybrid,Sapa Profiles,31.39%,hybrid,SAP Spain,31.35%,hybrid,Sapien,31.34%,hybrid
56,Boys and Girls Club of Dawson Community Centre,Boys and Girls Club of Dawson Community Centre,1.0000,100.00,exact,1.0000,4.9551,Boys and Girls Club of Dawson Community Centre,100.00%,exact,GIRLS CLUB,53.99%,hybrid,Dawson Community College,51.24%,hybrid,DAWSON COMMUNITY BLUES,50.67%,hybrid,GIRLS Bridge Club,48.10%,hybrid,Dawson County School District,38.41%,hybrid,Dawson County Schools,37.35%,hybrid,DAWSON COUNTY EDUCATION COOPERATIVE,37.01%,hybrid,Dawson Reunion,35.98%,hybrid,Dawson Dance Team,35.87%,hybrid,DAWSON FAMILY REUNION,35.60%,hybrid,Dawson Family,35.18%,hybrid,Dawson Carter Family Reunion,34.52%,hybrid,Jackson Dawson Reunion,34.43%,hybrid,DAWSON COLLEGE,34.28%,hybrid,The Dawson Center,33.83%,hybrid,Dawson Group,33.55%,hybrid,KIDS CLUB FOUNDATION,33.22%,hybrid,Community Youth Center,33.21%,hybrid,Dawson Meetings,32.82%,hybrid
57,Beissbarth,Beissbarth,1.0000,100.00,exact,1.0000,5.6056,Beissbarth,100.00%,exact,Beissbarth GmbH,88.13%,hybrid,Breitbart,42.39%,hybrid,Bitbar,42.34%,hybrid,Brietbart,40.35%,hybrid,Ziebart,39.51%,hybrid,Versabar,38.11%,hybrid,Rebar,37.96%,hybrid,ABBARCH,37.94%,hybrid,Ubar,37.72%,hybrid,NettBar,37.32%,hybrid,SideBar,36.36%,hybrid,HandleBar,36.34%,hybrid,MakerBar,36.03%,hybrid,backbar,35.86%,hybrid,FitBar,35.55%,hybrid,Goodbar,35.49%,hybrid,Ambar Then,35.47%,hybrid,minibar,35.46%,hybrid,Agbar,35.21%,hybrid
58,US Night Vision,US Night Vision,1.0000,100.00,exact,1.0000,6.3599,US Night Vision,100.00%,exact,PM Night Vision,81.50%,hybrid,US Vision Care,79.56%,hybrid,Night Vision Entertainment,79.47%,hybrid,Night Vision Manufacturers,79.36%,hybrid,WORLD VISION US,79.22%,hybrid,NIGHT VISION SYSTEMS INC,78.85%,hybrid,ITT Night Vision,78.60%,hybrid,Night Vision,75.76%,hybrid,US Vision,72.39%,hybrid,US Vision Inc,68.48%,hybrid,Big Night America,58.94%,hybrid,World Vision USA,58.22%,hybrid,Smart Vision Lights,58.03%,hybrid,A Night For Sight,57.81%,hybrid,American Vision Travel,57.76%,hybrid,VISION TRENDS USA,57.54%,hybrid,World Vision United States,57.25%,hybrid,Vision IX USA,57.25%,hybrid,Vision USA,54.02%,hybrid
59,"Amedysis, Incorporated","Amedysis, Incorporated",1.0000,100.00,exact,1.0000,5.5022,"Amedysis, Incorporated",100.00%,exact,"Amedysis, Inc.",95.84%,hybrid,Amedysis Home Health,89.46%,hybrid,Medysis,55.16%,hybrid,Avysis,45.95%,hybrid,Lysis,44.53%,hybrid,Unysis Corporation,43.74%,hybrid,Dialysis Corporation,43.13%,hybrid,INVENYSIS,43.09%,hybrid,Cardialysis,42.89%,hybrid,Affiliated Dialysis,41.81%,hybrid,Intelysis,41.38%,hybrid,"Vysis, Inc.",41.28%,hybrid,Personalysis Corporation,40.63%,hybrid,Alysis Technology,39.25%,hybrid,Dialysis Clinic Incorporated,38.81%,hybrid,Innovative Dialysis,38.55%,hybrid,"M Dialysis, Inc.",38.33%,hybrid,IHS Dialysis,37.96%,hybrid,Dialysis Centers Incorporated,37.71%,hybrid
60,"Taiyo Air Service Co.,Ltd","Taiyo Air Service Co.,Ltd",1.0000,100.00,exact,1.0000,5.0738,"Taiyo Air Service Co.,Ltd",100.00%,exact,Taiyo Air Services Co.,78.81%,hybrid,Fuyo Air Service Co. Ltd.,73.74%,hybrid,CITS Taikoo Air Service Ltd,72.77%,hybrid,Air Service Development,65.24%,hybrid,Tec Air Service,65.13%,hybrid,World Air Service,64.77%,hybrid,Air Service,60.87%,hybrid,AIR SERVICE CORP,60.31%,hybrid,Air Service Corporation,58.73%,hybrid,Service Air,56.00%,hybrid,Nichiyo Air Services,51.98%,hybrid,Taiyo Pacific Partners,51.27%,hybrid,Air Craft Services,49.68%,hybrid,Loyo Travel Service,49.58%,hybrid,Blue Air Training,49.45%,hybrid,Taiyo International Pte Ltd,49.45%,hybrid,Air Force Services,49.43%,hybrid,Air Products FCU,49.16%,hybrid,Taiyo Am,46.19%,hybrid
61,National Conference on Race & Ethnicity in American Higher E,National Conference on Race & Ethnicity in American Higher E,1.0000,100.00,exact,1.0000,4.7141,National Conference on Race & Ethnicity in American Higher E,100.00%,exact,NATIONAL CONFERENCE ON RACE AND ETHNICITY IN AMERICAN HIGHER,88.77%,hybrid,NCORE NATIONAL CONFERENCE ON RACE AND ETHNICITY IN AMERICAN HIGHER EDUCATION,86.35%,hybrid,National Conference On Race & Ethnicity In America Higher Ed,86.33%,hybrid,National Conference on Race & Ethnicity in AM Higher Education,82.79%,hybrid,National Conference on Race & Ethnicity in Am. Higher Educ,82.73%,hybrid,National Conference on Race & Ethnicity in Higher Education,79.89%,hybrid,National Conference on Race & Ethnicity in AmericanHigher Ed,74.58%,hybrid,National Conference on Race Ethnicity,70.88%,hybrid,National Conference on Race & Ethnicity,68.37%,hybrid,National Conference on Race and Ethnicity,67.96%,hybrid,NATIONAL CONFERENCE ON RACE & ETHNICITY - NCORE,67.20%,hybrid,NAT CONFERENCE ON RACE & ETHNICITY,55.30%,hybrid,National Conference on African Americans,47.21%,hybrid,Trans American Race Co,35.43%,hybrid,Race Across America,34.38%,hybrid,African American Conference,34.30%,hybrid,Ethnic America Network,32.57%,hybrid,Ethnicity Matters,32.14%,hybrid,EthniCITY,31.54%,hybrid
62,Reminger Law Firm,Reminger Law Firm,1.0000,100.00,exact,1.0000,5.6767,Reminger Law Firm,100.00%,exact,Reminger & Reminger Law Firm,97.03%,hybrid,Withers Law Firm,82.31%,hybrid,S Law Firm,81.90%,hybrid,Speer Law Firm,81.83%,hybrid,Didier Law Firm,81.27%,hybrid,Marr Law Firm,81.22%,hybrid,Gremminger Law Firm,81.18%,hybrid,Arzinger Law Firm,81.08%,hybrid,RA Law Firm,80.80%,hybrid,Alters Law Firm,80.73%,hybrid,Revo Law Firm,80.68%,hybrid,DC Law Firm,80.67%,hybrid,B Law Firm,80.65%,hybrid,Stacks Law Firm,80.62%,hybrid,Sharp Law Firm,80.54%,hybrid,LPR Law Firm,80.53%,hybrid,Long Law Firm,80.46%,hybrid,Howry Law Firm,80.45%,hybrid,Heard Law Firm,80.44%,hybrid
63,SEMMOA BOD,SEMMOA BOD,1.0000,100.00,exact,1.0000,5.4166,SEMMOA BOD,100.00%,exact,SEMMOA AACM,73.98%,hybrid,Bod Pro,73.49%,hybrid,SEMMOA Coop,73.17%,hybrid,CSA BOD,72.17%,hybrid,World Bod,70.35%,hybrid,Semmoa,65.76%,hybrid,BoD,62.34%,hybrid,SEMM,34.04%,hybrid,SE Production,32.27%,hybrid,Sem Jacar,32.20%,hybrid,SED,32.03%,hybrid,Sewbo,31.17%,hybrid,BODE,30.61%,hybrid,Bode Pro,30.34%,hybrid,BOSTD,30.07%,hybrid,SEDS,29.87%,hybrid,BODi,29.59%,hybrid,SEB,29.25%,hybrid,Bo,29.04%,hybrid
64,Telefonica Global Solutions,Telefonica Global Solutions,1.0000,100.00,exact,1.0000,5.4480,Telefonica Global Solutions,100.00%,exact,Telefonica Multinational Solutions,90.11%,hybrid,Telefonica Global Solutions USA Inc.,90.08%,hybrid,TELEFONICA INTERNATIONAL USA,71.69%,hybrid,Telefonica International USA Inc,70.01%,hybrid,Telefonica International Wholesale Services,69.33%,hybrid,Telefonica Internacional USA,68.21%,hybrid,Telefonica,66.76%,hybrid,Telefonica International,66.75%,hybrid,Telefonica USA,63.54%,hybrid,02 Telefonica,62.98%,hybrid,Telefonica España,61.82%,hybrid,Telefonica Chile,61.28%,hybrid,Grupo Telefonica,61.20%,hybrid,Telefonica Brazil,60.53%,hybrid,Telefónica Business Solutions,60.52%,hybrid,Telefonica Duplicate,60.49%,hybrid,TELEFONICA UK LIMITED,60.42%,hybrid,Telefonica Vivo,60.32%,hybrid,O2 Telefonica,60.11%,hybrid
65,Travel Leaders - Dube Travel,Dube Travel Leaders,1.0000,100.00,hybrid,1.0000,5.8009,Dube Travel Leaders,100.00%,hybrid,Travel Leaders - Dube Travel,100.00%,exact,Dube Travel / Travel Leaders,93.38%,hybrid,Dube / Travel Leaders,92.16%,hybrid,Dube Travel/Travel Leaders,88.71%,hybrid,Travel Leaders Go,85.14%,hybrid,Travel Leaders Travel Quest,84.23%,hybrid,TRAVEL LEADERS INTERNATIONAL,83.73%,hybrid,Travel Leaders Travel Agency,83.66%,hybrid,TRAVEL LEADERS WORLDWIDE,83.36%,hybrid,Travel Leaders Network,83.34%,hybrid,Travel Leaders Travel Now,83.12%,hybrid,Travel Leaders WI,83.09%,hybrid,LEADERS IN TRAVEL,82.87%,hybrid,Travel Leaders Travel More,82.71%,hybrid,Travel Leaders Travelport,82.45%,hybrid,Travel Leaders Agency,82.39%,hybrid,Global Travel Leaders,82.17%,hybrid,Travel Leaders USA,81.99%,hybrid,Travel Leaders Australia,81.90%,hybrid
66,Hi- Tours,Hi- Tours,1.0000,100.00,exact,1.0000,5.8173,Hi- Tours,100.00%,exact,Hi Tours,93.00%,hybrid,Hi Life Tours,91.61%,hybrid,HI LITE TOURS,89.90%,hybrid,Hi-Tours,89.45%,hybrid,Hi Tour,81.66%,hybrid,Hi Tours2,81.34%,hybrid,Journey Tours,77.14%,hybrid,Excursion Tours,76.85%,hybrid,Nice Tours,76.71%,hybrid,Sky Tours,76.54%,hybrid,DESTINATION TOURS,76.41%,hybrid,Journeys Tours,76.38%,hybrid,FRIENDLY TOURS,76.35%,hybrid,Fun Tours,75.98%,hybrid,Great Tours,75.95%,hybrid,GO TOURS,75.91%,hybrid,Open Tours,75.86%,hybrid,Excellent Tours,75.78%,hybrid,Excellent  Tours,75.78%,hybrid
67,Volkswagen Group China,Volkswagen Group China,1.0000,100.00,exact,1.0000,6.6367,Volkswagen Group China,100.00%,exact,Volkswagen China,99.04%,hybrid,VOLKSWAGEN CHINA INVESTMENT COMPANY LTD,84.49%,hybrid,Volkswagen Group Japan,76.56%,hybrid,Volkswagen Group Australia,75.70%,hybrid,VOLKSWAGEN KOREA,75.20%,hybrid,Grupo Volkswagen,75.14%,hybrid,Group Volkswagen Spain,75.05%,hybrid,VOLKSWAGEN Group Rus,74.68%,hybrid,Volkswagen Singapore,74.62%,hybrid,Volvo Group China,74.54%,hybrid,Volkswagen Australia,74.29%,hybrid,Volkswagen Group UK,74.21%,hybrid,VOLKSWAGEN GERMANY,74.16%,hybrid,Volkswagen AG,74.10%,hybrid,Americas Volkswagen,74.02%,hybrid,Volkswagen Brazil,73.86%,hybrid,Volkswagen Group of America,73.75%,hybrid,Volkswagen Project,73.53%,hybrid,Volkswagen Dealers,73.33%,hybrid
68,Sun Tx,Sun Tx,1.0000,100.00,exact,1.0000,6.6129,Sun Tx,100.00%,exact,Sun City Texas,77.10%,hybrid,Standard Sun,73.71%,hybrid,Sun City,73.46%,hybrid,Sun Am,73.38%,hybrid,Sun Outdoors,73.37%,hybrid,sun coast,73.27%,hybrid,Rising Sun,73.23%,hybrid,Sun Com,73.23%,hybrid,Sun Vista,73.17%,hybrid,Sun Space,72.95%,hybrid,New Sun,72.78%,hybrid,Basic Sun,72.71%,hybrid,SUN TRAN,72.67%,hybrid,Sun Corp USA,72.48%,hybrid,Asian Sun,72.45%,hybrid,California Sun,72.43%,hybrid,Sun Coast Marina,72.40%,hybrid,Sun Valley Sunset,72.39%,hybrid,Sun Supply,72.37%,hybrid
69,Southern Vermont Deerfield Valley Chamber of commerce,Southern Vermont Deerfield Valley Chamber of commerce,1.0000,100.00,exact,1.0000,5.6302,Southern Vermont Deerfield Valley Chamber of commerce,100.00%,exact,Deerfield Beach Chamber of Commerce,66.75%,hybrid,Chamber of Commerce Mid-Ohio Valley,65.76%,hybrid,Northwest Valley Chamber of Commerce,62.28%,hybrid,South Valley Chamber of Commerce,62.01%,hybrid,Greater Valley Chamber of Commerce,61.76%,hybrid,Utah Valley Chamber of Commerce,61.74%,hybrid,Eagle Valley Chamber of Commerce,61.23%,hybrid,Deerfield Chamber of Commerce,60.95%,hybrid,Vermont Chamber of Commerce,59.36%,hybrid,Deer Park Chamber of Commerce,56.12%,hybrid,Northern Virginia Chamber of Commerce,52.62%,hybrid,Virginia Peninsula Chamber of Commerce,52.11%,hybrid,Wyoming State Chamber of Commerce,51.98%,hybrid,Midwest City Chamber of Commerce,51.75%,hybrid,Meadowlands Regional Chamber of Commerce,51.71%,hybrid,North Brunswick Chamber of Commerce,51.62%,hybrid,West Virginia Chamber of Commerce,51.17%,hybrid,Beaver Area Chamber of Commerce,50.95%,hybrid,Meadowlands Chamber of Commerce,48.08%,hybrid
70,DGR Ministries,DGR Ministries,1.0000,100.00,exact,1.0000,6.6632,DGR Ministries,100.00%,exact,DG Ministries,76.31%,hybrid,Power Ministries,74.51%,hybrid,Impact Ministries,73.51%,hybrid,Progressive Ministries,73.15%,hybrid,Empowered Ministries,73.07%,hybrid,Total Ministries,72.96%,hybrid,Customized Ministries,72.84%,hybrid,Chosen Generation Ministries,72.77%,hybrid,Legacy Ministries,72.76%,hybrid,Chosen Ministries,72.76%,hybrid,Caring Ministries,72.74%,hybrid,CHIEF MINISTRIES,72.67%,hybrid,Regional Ministries,72.60%,hybrid,Life Ministries,72.58%,hybrid,Partnership Ministries,72.49%,hybrid,Run Ministries,72.40%,hybrid,Sure ministries,72.37%,hybrid,CV Ministries,72.30%,hybrid,RI Ministries,72.29%,hybrid
71,Impacto 6,Impacto 6,1.0000,100.00,exact,1.0000,6.0651,Impacto 6,100.00%,exact,Impacto 52,83.78%,hybrid,Impacto Strategies,83.39%,hybrid,Impacto Vital,81.21%,hybrid,Triple Impacto,81.02%,hybrid,Impacto Tactico,80.71%,hybrid,Impacto de Fe,80.46%,hybrid,Impacto EDL,80.07%,hybrid,Primer Impacto,78.94%,hybrid,Impacto Productive Products,78.65%,hybrid,Impacto YOUTH,77.51%,hybrid,Impacto Inc.,64.27%,hybrid,Impact 365,45.63%,hybrid,Impact 360,44.50%,hybrid,Impact ON,43.45%,hybrid,Impact 88,42.61%,hybrid,Impact Now,42.36%,hybrid,Impact RTO,42.31%,hybrid,Impact XXI,42.30%,hybrid,Impact First,40.95%,hybrid
72,"Neos Therapeutics, Inc.","Neos Therapeutics, Inc.",1.0000,100.00,exact,1.0000,5.0271,"Neos Therapeutics, Inc.",100.00%,exact,Neos Therapeutics,93.68%,hybrid,Neos Therapeutics LP,85.25%,hybrid,"Neogene Therapeutics, Inc.",76.88%,hybrid,Neogene Therapeutics,73.98%,hybrid,Neos Partners,73.14%,hybrid,NEOS Central,73.10%,hybrid,Neos Spa,72.35%,hybrid,Neos Therapeutic,59.17%,hybrid,Neo Medical Inc,44.26%,hybrid,NEOS,43.44%,hybrid,Neo Medical,42.65%,hybrid,Neo Medic,42.26%,hybrid,Neo Health Services,42.11%,hybrid,Neo Productions,41.06%,hybrid,Neo Partners,40.57%,hybrid,Neo Surgical,40.32%,hybrid,Neo Healthcare Services,40.22%,hybrid,Neo Health,40.06%,hybrid,Neos LLC,39.93%,hybrid
73,International Tax Institute,International Tax Institute,1.0000,100.00,exact,1.0000,6.2213,International Tax Institute,100.00%,exact,INTERNATIONAL TAX INSTITUTE INC,97.72%,hybrid,International Property Tax Institute,92.25%,hybrid,National Tax Institute,90.41%,hybrid,International Tax & Auditing Institute,87.82%,hybrid,Professional Tax Institute,87.39%,hybrid,Tax Research Institute,87.13%,hybrid,Federal Tax Institute,87.07%,hybrid,International Tax Form,86.94%,hybrid,Tax Executive Institute,86.81%,hybrid,International Tax Advisors,86.57%,hybrid,International Tax Review,86.10%,hybrid,Tax Executives Institute,85.38%,hybrid,Bank Tax Institute,85.15%,hybrid,Tax Planning Institute,84.68%,hybrid,SALES TAX INSTITUTE,84.67%,hybrid,Tax Freedom Institute,84.59%,hybrid,Tax Reduction Institute,84.12%,hybrid,Council for International Tax,84.00%,hybrid,American Tax Policy Institute,83.77%,hybrid
74,Mitsubishi M501G,Mitsubishi M501G,1.0000,100.00,exact,1.0000,6.4161,Mitsubishi M501G,100.00%,exact,NEC Mitsubishi,78.09%,hybrid,Mitsubishi Power,77.88%,hybrid,Mitsubishi Motors,77.87%,hybrid,MITSUBISHI MOTOR,77.84%,hybrid,Mitsubishi Electronics,77.74%,hybrid,Mitsubishi Electric,77.39%,hybrid,Mitsubishi Japan,77.20%,hybrid,Mitsubishi Canada,76.52%,hybrid,Mitsubishi Ingredients,76.51%,hybrid,Mitsubishi USA,76.36%,hybrid,Mitsubishi Engine,76.36%,hybrid,Mitsubishi Securities,76.17%,hybrid,Mitsubishi Chemical,76.02%,hybrid,Mitsubishi Germany,75.93%,hybrid,Mitsubishi Dealers,75.91%,hybrid,Mitsubishi Materials,75.89%,hybrid,Mitsubishi Digital,75.86%,hybrid,MITSUBISHI ELECTRIC AUTOMOTIVE,75.81%,hybrid,MITSUBISHI ELECTRIC AME,75.70%,hybrid
75,Huskies Sports,Huskies Sports,1.0000,100.00,exact,1.0000,7.6570,Huskies Sports,100.00%,exact,Huskies Basketball,77.10%,hybrid,Miami Huskies,75.90%,hybrid,Mass Huskies,75.62%,hybrid,Huskies Hockey League,75.40%,hybrid,Huskies Hockey Club,74.91%,hybrid,Dual State Huskies,73.70%,hybrid,NH Huskies,73.67%,hybrid,Huskies Elite Cheer,73.39%,hybrid,Huskies Baseball State Tournament,73.22%,hybrid,Howard Huskies,72.67%,hybrid,UConn Huskies Athletics,72.29%,hybrid,Horizon Huskies,72.23%,hybrid,HRS Huskies,72.11%,hybrid,Empire State Huskies,71.97%,hybrid,North Toronto Huskies,71.52%,hybrid,University of Saskatchewan Huskies Athletics,71.51%,hybrid,Mid Huron Huskies,71.32%,hybrid,Bershire Huskies,71.20%,hybrid,New Mexico Huskies,70.82%,hybrid
76,Acacia Pharma Group Inc.,Acacia Pharma Group Inc.,1.0000,100.00,exact,1.0000,5.8416,Acacia Pharma Group Inc.,100.00%,exact,"ACACIA PHARMA, Inc.",94.13%,hybrid,Acacia Pharma,92.20%,hybrid,Acacia Pharma Ltd,91.70%,hybrid,Acacia Research Group,77.37%,hybrid,Acacia Network Inc.,77.23%,hybrid,Acacia Partners,75.81%,hybrid,Acacia Travel Inc.,75.77%,hybrid,Acacia Financial Group,75.48%,hybrid,Acacia Marketing  Group,75.00%,hybrid,Acacia Marketing Group,75.00%,hybrid,Acacia Research Corp,74.91%,hybrid,Acacia Institute,74.68%,hybrid,Acacia Systems,73.74%,hybrid,ACACIA NETWORK,73.63%,hybrid,ACACIA GROUP OF COMPANIES,73.61%,hybrid,Acacia Designs,73.61%,hybrid,Acacia Technologies LLC,73.47%,hybrid,Acacia University,73.43%,hybrid,Acacia Technologies,73.40%,hybrid
77,Acumatica Summit 2017 Z7NWPDKS625,Acumatica Summit 2017 Z7NWPDKS625,1.0000,100.00,exact,1.0000,5.0161,Acumatica Summit 2017 Z7NWPDKS625,100.00%,exact,Acumatica User Group Southeast,52.82%,hybrid,Contact Center Compliance Summit,51.70%,hybrid,Acumatica Asia,50.26%,hybrid,ACUMATICA PRESIDENTS CLUB,49.56%,hybrid,Acumatica - Sales Office,49.46%,hybrid,Acumatica The Cloud ERP,49.20%,hybrid,Medical Device Summit,47.46%,hybrid,ACMG Icws 2017,44.39%,hybrid,ACA Summit,41.93%,hybrid,Zillow Summit,41.89%,hybrid,POWER SUMMIT,41.50%,hybrid,Summit Tire,41.40%,hybrid,MNG Summit,41.37%,hybrid,Medical Summit,41.25%,hybrid,MD Summit,41.17%,hybrid,Acumatica,36.28%,hybrid,NM Rheumatic Disease Society,31.08%,hybrid,Neumaticos Goodyear S R L,30.31%,hybrid,"Acumatica, Inc.",30.24%,hybrid
78,Linklaters CIS,Linklaters CIS,1.0000,100.00,exact,1.0000,5.8690,Linklaters CIS,100.00%,exact,CIS Partners,76.22%,hybrid,Cis GmbH,75.81%,hybrid,One Cis,75.71%,hybrid,CIS Method,75.64%,hybrid,Cis 22,75.24%,hybrid,CIS Groups,74.90%,hybrid,Cis Global,74.64%,hybrid,Cis Technologies,74.08%,hybrid,Cis Secure,73.71%,hybrid,Groupe CIS,73.45%,hybrid,Affiliates of Cis,73.32%,hybrid,CIS Conf,73.32%,hybrid,Trio Cis,73.28%,hybrid,CIS Conference,73.03%,hybrid,STEELE CIS,72.94%,hybrid,Cis,67.61%,hybrid,CIS Ltd,63.12%,hybrid,CIS Group,61.01%,hybrid,CIS Group Corporation,60.12%,hybrid
